_id,userId,Name,email,gender,specializations,doj,state,experience,trainingId,trainingName,trainerId,trainerName,optimizedDuration,trainingStatus,assessment_percentage_done,assessment_completion_time_in_hours,scoreAchievedInQuiz,quizPassedOrFailed,ratingGivenByTrainer
6613eb2f48f28aff2db02469,Emp_0,Kaustubh Gupta,kaustubhgupta9860@gmail.com,Male,"['Microservices', 'Test-Driven Development', '.NET', 'Data Visualization']",09-03-2023,Arizona,5,,,,,,,,,,,
6613eb2f48f28aff2db0246a,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_10,Web Development Fundamentals,Emp_131,Nathaniel,3.0,completed,100.0,12.0,8.0,failed,
6613eb2f48f28aff2db0246b,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_13,Cybersecurity Essentials,Emp_131,Nathaniel,33.0,in_progress,35.0,,,,4.0
6613eb2f48f28aff2db0246c,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_17,Machine Learning Basics,Emp_199,,15.0,pending,0.0,,,,1.0
6613eb2f48f28aff2db0246d,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_18,Backend Development with Node.js,Emp_70,,30.0,pending,0.0,,,,5.0
6613eb2f48f28aff2db0246e,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_21,Web Development Fundamentals,Emp_43,,27.0,pending,0.0,,,,5.0
6613eb2f48f28aff2db0246f,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_39,Web Development Fundamentals,Emp_94,,40.0,pending,0.0,,,,5.0
6613eb2f48f28aff2db02470,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_45,Introduction to JavaScript,Emp_48,,30.0,pending,0.0,,,,5.0
6613eb2f48f28aff2db02471,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_6,Introduction to JavaScript,Emp_96,,37.0,in_progress,61.0,,,,1.0
6613eb2f48f28aff2db02472,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_62,Cloud Computing Fundamentals,Emp_66,,30.0,in_progress,98.0,,,,4.0
6613eb2f48f28aff2db02473,Emp_1,Cathy Mata,johnbaker@example.com,Male,"['Kubernetes', 'MySQL', 'C#', 'NoSQL']",09-03-2023,Arizona,5,Training_80,Data Science Essentials,Emp_61,,29.0,pending,0.0,,,,1.0
6613eb2f48f28aff2db02474,Emp_2,David Sanford,corymiller@example.com,Male,"['C#', 'DevOps', 'MongoDB', 'Objective-C']",16-06-2022,South Dakota,11,Training_12,Cybersecurity Essentials,Emp_191,,19.0,completed,100.0,17.0,88.0,passed,
6613eb2f48f28aff2db02475,Emp_2,David Sanford,corymiller@example.com,Male,"['C#', 'DevOps', 'MongoDB', 'Objective-C']",16-06-2022,South Dakota,11,Training_76,Cloud Computing Fundamentals,Emp_132,Andrew,40.0,in_progress,67.0,,,,5.0
