_id,USERID,FULLNAME,EMAIL,PHONENUMBER,GENDER,DOJ,SPECIALIZATION,DOB,CITY,STATE,EXPERIENCE,USERTYPE,SUBSCRIBENEWSLETTER,TRAININGID,TRAINERID,TRAINERNAME,TRAINERDESIGNATION,TRAINERRATING,TRAINERSPECIALIZATION,TRAININGNAME,OPTIMIZEDDURATION,DIFFICULTYLEVEL,TRAININGSTATUS,ASSESSMENT_PERCENTAGE_DONE,ASSESSMENT_COMPLETION_TIME_IN_HOURS,SCOREACHIEVEDINQUIZ,QUIZPASSEDORFAILED,RATINGGIVENBYTRAINER
6618164adc55deddf973afae,Emp_181,Andrew Cole,davisgregory@example.org,-9025,Female,23-09-2020,[Continuous Deployment,09-09-1996,South Taylorberg,North Carolina,17.0,User,False,Training_10,,Jennifer,IT Support Engineer,1.0,"['Ruby', 'Statistical Analysis', 'Kubernetes', 'SQL']",Machine Learning Basics,24.0,moderate,in_progress,87.0,,,,4.0
6618164adc55deddf973afaf,Emp_181,Andrew Cole,davisgregory@example.org,-9025,Female,23-09-2020, GraphQL,09-09-1996,South Taylorberg,North Carolina,17.0,User,False,Training_10,,Jennifer,IT Support Engineer,1.0,"['Ruby', 'Statistical Analysis', 'Kubernetes', 'SQL']",Machine Learning Basics,24.0,moderate,in_progress,87.0,,,,4.0
6618164adc55deddf973afb0,Emp_181,Andrew Cole,davisgregory@example.org,-9025,Female,23-09-2020, PostgreSQL,09-09-1996,South Taylorberg,North Carolina,17.0,User,False,Training_10,,Jennifer,IT Support Engineer,1.0,"['Ruby', 'Statistical Analysis', 'Kubernetes', 'SQL']",Machine Learning Basics,24.0,moderate,in_progress,87.0,,,,4.0
6618164adc55deddf973afb1,Emp_181,Andrew Cole,davisgregory@example.org,-9025,Female,23-09-2020, Node.js],09-09-1996,South Taylorberg,North Carolina,17.0,User,False,Training_10,,Jennifer,IT Support Engineer,1.0,"['Ruby', 'Statistical Analysis', 'Kubernetes', 'SQL']",Machine Learning Basics,24.0,moderate,in_progress,87.0,,,,4.0
6618164adc55deddf973afb2,Emp_172,Jonathan Patel,gonzalesbrian@example.org,001-515-605-2768x915,Male,13-01-2021,[MongoDB,14-07-1939,West Paulland,Vermont,17.0,User,True,Training_84,,,,,,Data Science Essentials,23.0,easy,pending,0.0,,,,4.0
6618164adc55deddf973afb3,Emp_172,Jonathan Patel,gonzalesbrian@example.org,001-515-605-2768x915,Male,13-01-2021, HTML,14-07-1939,West Paulland,Vermont,17.0,User,True,Training_84,,,,,,Data Science Essentials,23.0,easy,pending,0.0,,,,4.0
6618164adc55deddf973afb4,Emp_172,Jonathan Patel,gonzalesbrian@example.org,001-515-605-2768x915,Male,13-01-2021, Continuous Integration,14-07-1939,West Paulland,Vermont,17.0,User,True,Training_84,,,,,,Data Science Essentials,23.0,easy,pending,0.0,,,,4.0
6618164adc55deddf973afb5,Emp_172,Jonathan Patel,gonzalesbrian@example.org,001-515-605-2768x915,Male,13-01-2021, SQL],14-07-1939,West Paulland,Vermont,17.0,User,True,Training_84,,,,,,Data Science Essentials,23.0,easy,pending,0.0,,,,4.0
6618164adc55deddf973afb6,Emp_133,Christopher Jefferson,guerrerojamie@example.net,-9355,Female,09-05-2023,[Kubernetes,30-04-1995,Collinsmouth,California,20.0,User,False,Training_69,,,,,,Frontend Development with React,8.0,moderate,in_progress,88.0,,,,2.0
6618164adc55deddf973afb7,Emp_133,Christopher Jefferson,guerrerojamie@example.net,-9355,Female,09-05-2023, Information Security,30-04-1995,Collinsmouth,California,20.0,User,False,Training_69,,,,,,Frontend Development with React,8.0,moderate,in_progress,88.0,,,,2.0
